"sy","sys_id_ga","sch_id_ga","level","sys_nm","sch_nm","enr_k12"
2024,634,3052,"ES","Coffee County","West Green Elementary School",354
2024,634,5050,"ES","Coffee County","Westside Elementary School",571
2024,635,4050,"ES","Colquitt County","Cox Elementary School",436
2024,635,2052,"ES","Colquitt County","Funston Elementary School",354
2024,635,278,"ES","Colquitt County","Norman Park Elementary School",523
2024,635,187,"ES","Colquitt County","Odom Elementary School",446
2024,635,5054,"ES","Colquitt County","Sunset Elementary School",519
2024,635,2056,"ES","Colquitt County","Wright Elementary School",477
2024,636,212,"ES","Columbia County","Baker Place Elementary",909
2024,636,188,"ES","Columbia County","Blue Ridge Elementary School",593
2024,636,190,"ES","Columbia County","Brookwood Elementary School",606
2024,636,208,"ES","Columbia County","Cedar Ridge Elementary School",1084
2024,636,397,"ES","Columbia County","Euchee Creek Elementary School",648
2024,636,186,"ES","Columbia County","Evans Elementary School",812
2024,636,297,"ES","Columbia County","Greenbrier Elementary School",622
2024,636,5050,"ES","Columbia County","Grovetown Elementary School",929
2024,636,102,"ES","Columbia County","Lewiston Elementary School",791
2024,636,2052,"ES","Columbia County","Martinez Elementary School",778
2024,636,3052,"ES","Columbia County","North Columbia Elementary School",423
2024,636,4052,"ES","Columbia County","North Harlem Elementary School",854
2024,636,398,"ES","Columbia County","Parkway Elementary School",770
2024,636,106,"ES","Columbia County","River Ridge Elementary",829
2024,636,194,"ES","Columbia County","Riverside Elementary School",650
2024,636,5052,"ES","Columbia County","South Columbia Elementary School",393
2024,636,192,"ES","Columbia County","Stevens Creek Elementary School",813
2024,771,1050,"ES","Commerce City","Commerce Elementary School",282
2024,771,104,"ES","Commerce City","Commerce Primary",424
2024,637,104,"ES","Cook County","Cook Elementary School",640
2024,637,196,"ES","Cook County","Cook Primary School",626
2024,638,101,"ES","Coweta County","Arbor Springs Elementary",386
2024,638,1050,"ES","Coweta County","Arnco-Sargent Elementary School",352
2024,638,2050,"ES","Coweta County","Atkinson Elementary School",384
2024,638,115,"ES","Coweta County","Brooks Elementary",772
2024,638,191,"ES","Coweta County","Canongate Elementary School",627
2024,638,2052,"ES","Coweta County","Eastside Elementary School",534
2024,638,3052,"ES","Coweta County","Elm Street Elementary School",410
2024,638,195,"ES","Coweta County","Jefferson Parkway Elementary School",428
2024,638,3054,"ES","Coweta County","Moreland Elementary School",508
2024,638,192,"ES","Coweta County","Newnan Crossing Elementary School",908
2024,638,2056,"ES","Coweta County","Northside Elementary School",349
2024,638,199,"ES","Coweta County","Poplar Road Elementary School",526
2024,638,1054,"ES","Coweta County","Ruth Hill Elementary School",344
2024,638,295,"ES","Coweta County","Thomas Crossroads Elementary School",350
2024,638,201,"ES","Coweta County","Welch Elementary School",866
2024,638,5056,"ES","Coweta County","Western Elementary School",407
2024,638,189,"ES","Coweta County","White Oak Elementary School",678
